size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
5800000,783.158900,3.402692,171915229.600000,2937834.121749,85203138.100000,2528810.307637,780.764200,3.369988,171915275.800000,2937834.472105,85203138.100000,2528810.307637,3473.703900,104.348303,384672402.000000,3733.633726,125324134.000000,1244.544575
5900000,799.982100,7.207845,175548227.200000,2444634.053169,88483054.600000,3714272.372934,799.660700,10.347239,175548276.900000,2444634.944302,88483054.600000,3714272.372934,3563.511800,106.164137,391745352.000000,5144.480090,127631784.000000,1714.826697
6000000,816.005800,6.964001,176212651.400000,3399442.731594,89228351.700000,3629730.727020,811.436100,7.171936,176212696.300000,3399443.093321,89228351.700000,3629730.727020,3638.795600,105.099375,398827934.100000,7148.235047,129942644.700000,2382.745016
6100000,829.424100,3.750100,180630277.000000,2976377.155172,91382670.100000,3443025.232346,826.114300,5.617865,180630323.700000,2976378.029045,91382670.100000,3443025.232346,3720.409600,89.799040,405913767.600000,6683.213437,132254589.200000,2227.737812
6200000,845.154200,11.023264,184673738.200000,3286388.701587,92234642.900000,2132527.628628,839.314200,4.709058,184673785.500000,3286389.509377,92234642.900000,2132527.628628,3777.899700,77.686867,412997393.700000,5259.494292,134565797.900000,1753.164764
6300000,856.205400,6.346605,186254665.100000,2478987.550975,94179436.000000,2946796.863043,854.248500,4.735421,186254711.200000,2478986.841230,94179436.000000,2946796.863043,3849.679900,79.794832,420092630.400000,5490.829249,136880876.800000,1830.276416
6400000,868.739900,3.589516,189535946.700000,4060982.653609,95353584.400000,3286211.366629,866.848500,4.790031,189535993.600000,4060985.171299,95353584.400000,3286211.366629,3932.675500,78.549951,427190104.800000,6288.193251,139196701.600000,2096.064417
6500000,882.333900,4.368235,194674686.600000,3591997.738325,96213433.400000,3809673.646287,878.624900,4.192989,194674732.400000,3591997.492366,96213433.400000,3809673.646287,4007.523200,82.190935,434287453.200000,3635.009320,141512484.400000,1211.669773
6600000,894.778500,4.633115,199480114.400000,4232618.030532,98906966.100000,5450164.427668,890.774100,4.951162,199480161.400000,4232618.207509,98906966.100000,5450164.427668,4095.667900,86.927909,441388462.200000,3810.643457,143829487.400000,1270.214486
6700000,910.274800,4.131397,200497959.600000,3733730.952305,99354766.700000,2608412.968687,908.384500,5.850127,200498007.900000,3733731.324820,99354766.700000,2608412.968687,4207.735300,110.471485,448499511.600000,5300.764817,146149837.200000,1766.921606
6800000,924.442400,6.145291,206550829.600000,4172930.561306,103991110.800000,5877129.887829,922.934700,4.022450,206550876.500000,4172931.192577,103991110.800000,5877129.887829,4300.181200,101.361872,455613149.700000,4154.252521,148471049.900000,1384.750840
6900000,954.896400,47.643241,204917857.500000,4271105.180582,100442404.700000,4138877.187175,940.104800,12.797368,204917904.500000,4271108.372186,100442404.700000,4138877.187175,4366.271000,101.507561,462720730.200000,5167.301787,150790243.400000,1722.433929
7000000,959.252900,5.256718,211564475.000000,3763059.155347,104622358.300000,3058914.924959,957.289400,6.216530,211564520.700000,3763059.292412,104622358.300000,3058914.924959,4441.259700,113.208727,469842400.200000,5272.252646,153114133.400000,1757.417549
7100000,971.873600,6.135848,211347126.200000,3460647.275361,105886312.200000,3321793.630629,968.297200,5.602205,211347174.400000,3460648.946263,105886312.200000,3321793.630629,4550.608100,121.265719,476961720.300000,7403.269346,155437240.100000,2467.756449
7200000,1000.497200,37.383234,215023389.800000,3936039.692780,107763640.400000,4619598.347635,988.812000,14.219332,215023436.800000,3936042.300748,107763640.400000,4619598.347635,4594.626800,105.374467,484087626.900000,6410.075092,157762542.300000,2136.691697
7300000,998.539200,3.721584,221032958.300000,6833323.644394,109400530.800000,2200871.715908,997.391000,6.226167,221033007.400000,6833324.312066,109400530.800000,2200871.715908,4666.893400,82.299733,491210394.000000,5974.037931,160086798.000000,1991.345977
7400000,1012.745000,4.766434,221822086.700000,6055763.209483,110735537.000000,4324584.672443,1010.699700,4.998033,221822135.300000,6055767.354222,110735537.000000,4324584.672443,4762.709000,103.837260,498335592.600000,5754.504691,162411864.200000,1918.168230
7500000,1029.889400,4.433339,224754628.900000,3352313.909747,112365809.900000,3518129.181260,1028.054300,5.345894,224754676.600000,3352315.226366,112365809.900000,3518129.181260,4851.484000,97.966279,505466698.200000,6814.046313,164738899.400000,2271.348771
